Ambulance_ID,Algorithm,Travel_Time,Computation_Time,ACO_Time_Overhead
a1,Dijkstra,112.0,0.0011372566223144531,0
a2,Dijkstra,131.0,0.0021419525146484375,0
a3,Dijkstra,125.0,0.0014181137084960938,0
a4,Dijkstra,135.0,0.0017631053924560547,0
a5,Dijkstra,180.0,0.002647876739501953,0
a6,Dijkstra,161.0,0.0019850730895996094,0
a7,Dijkstra,186.0,0.0022399425506591797,0
a8,Dijkstra,240.0,0.002975940704345703,0
a1,A* Real Time,112.0,0.1108558177947998,0
a2,A* Real Time,133.0,0.17062997817993164,0
a3,A* Real Time,124.0,0.14166522026062012,0
a4,A* Real Time,134.0,0.17872977256774902,0
a5,A* Real Time,177.0,0.29747509956359863,0
a6,A* Real Time,160.0,0.22056889533996582,0
a7,A* Real Time,180.0,0.24926328659057617,0
a1,A* Euclidean,122.0,0.00042510032653808594,0
a2,A* Euclidean,127.0,0.00036215782165527344,0
a3,A* Euclidean,129.0,0.0003829002380371094,0
a4,A* Euclidean,165.0,0.0003833770751953125,0
a5,A* Euclidean,191.0,0.0006279945373535156,0
a6,A* Euclidean,150.0,0.00044798851013183594,0
a7,A* Euclidean,484.0,0.0005559921264648438,0
