Ambulance_ID,Algorithm,Travel_Time,Computation_Time,ACO_Time_Overhead
a1,Dijkstra,113.0,0.0013191699981689453,0
a2,Dijkstra,131.0,0.0018422603607177734,0
a3,Dijkstra,124.0,0.0013701915740966797,0
a4,Dijkstra,133.0,0.00168609619140625,0
a5,Dijkstra,197.0,0.0027163028717041016,0
a6,Dijkstra,166.0,0.0020439624786376953,0
a7,Dijkstra,176.0,0.002254962921142578,0
a8,Dijkstra,239.0,0.003000974655151367,0
a1,A* Real Time,113.0,0.10780811309814453,0
a2,A* Real Time,132.0,0.16285395622253418,0
a3,A* Real Time,125.0,0.13332200050354004,0
a4,A* Real Time,134.0,0.17058372497558594,0
a5,A* Real Time,191.0,0.28371310234069824,0
a6,A* Real Time,185.0,0.21490693092346191,0
a7,A* Real Time,495.0,0.2799499034881592,0
a8,A* Real Time,203.0,0.3144090175628662,0
a1,A* Euclidean,124.0,0.0004038810729980469,0
a2,A* Euclidean,127.0,0.0003981590270996094,0
a3,A* Euclidean,128.0,0.00039386749267578125,0
a4,A* Euclidean,158.0,0.0003571510314941406,0
a5,A* Euclidean,192.0,0.0005590915679931641,0
a6,A* Euclidean,150.0,0.0004279613494873047,0
a7,A* Euclidean,484.0,0.0005559921264648438,0
a8,A* Euclidean,190.0,0.0005428791046142578,0
a1,A* ACO,113.0,0.12702417373657227,291.59859800338745
a2,A* ACO,131.0,0.17668509483337402,253.36354446411133
a3,A* ACO,128.0,0.15648388862609863,255.8511185646057
a4,A* ACO,136.0,0.18287301063537598,294.7720670700073
a5,A* ACO,184.0,0.3149402141571045,258.58265352249146
a6,A* ACO,166.0,0.23799610137939453,972.6207032203674
a7,A* ACO,199.0,0.29462718963623047,256.73664379119873
a8,A* ACO,202.0,0.3350410461425781,203.94777488708496
