Ambulance_ID,Algorithm,Travel_Time,Hour
a1,Dijkstra,172.0,0
a1,Dijkstra,193.0,1
a1,Dijkstra,172.0,2
a1,Dijkstra,184.0,3
a1,Dijkstra,186.0,4
a1,Dijkstra,172.0,5
a1,Dijkstra,176.0,6
a1,Dijkstra,182.0,7
a1,Dijkstra,180.0,8
a1,Dijkstra,175.0,9
a1,Dijkstra,172.0,10
a1,Dijkstra,178.0,11
a1,Dijkstra,215.0,12
a1,Dijkstra,201.0,13
a1,Dijkstra,206.0,14
a1,Dijkstra,197.0,15
a1,Dijkstra,217.0,16
a1,Dijkstra,201.0,17
a1,Dijkstra,184.0,18
a1,Dijkstra,183.0,19
a1,Dijkstra,216.0,20
a1,Dijkstra,201.0,21
a1,Dijkstra,171.0,22
a1,Dijkstra,171.0,23
a1,Dijkstra,173.0,24
a1,Dijkstra,176.0,25
a1,Dijkstra,173.0,26
a1,Dijkstra,172.0,27
a1,Dijkstra,171.0,28
a1,Dijkstra,187.0,29
a1,Dijkstra,187.0,30
a1,Dijkstra,207.0,31
a1,Dijkstra,192.0,32
a1,Dijkstra,277.0,33
a1,Dijkstra,180.0,34
a1,Dijkstra,185.0,35
a1,Dijkstra,184.0,36
a1,Dijkstra,209.0,37
a1,Dijkstra,195.0,38
a1,Dijkstra,200.0,39
a1,Dijkstra,230.0,40
a1,Dijkstra,211.0,41
a1,Dijkstra,201.0,42
a1,Dijkstra,220.0,43
a1,Dijkstra,206.0,44
a1,Dijkstra,172.0,45
a1,Dijkstra,172.0,46
a1,Dijkstra,172.0,47
a1,Dijkstra,171.0,48
a1,Dijkstra,171.0,49
a1,Dijkstra,172.0,50
a1,Dijkstra,172.0,51
a1,Dijkstra,172.0,52
a1,Dijkstra,172.0,53
a1,Dijkstra,173.0,54
a1,Dijkstra,177.0,55
a1,Dijkstra,179.0,56
a1,Dijkstra,192.0,57
a1,Dijkstra,263.0,58
a1,Dijkstra,173.0,59
a1,Dijkstra,196.0,60
a1,Dijkstra,213.0,61
a1,Dijkstra,190.0,62
a1,Dijkstra,182.0,63
a1,Dijkstra,227.0,64
a1,Dijkstra,226.0,65
a1,Dijkstra,203.0,66
a1,Dijkstra,198.0,67
a1,Dijkstra,190.0,68
a1,Dijkstra,178.0,69
a1,Dijkstra,172.0,70
a1,Dijkstra,172.0,71
a1,Dijkstra,171.0,72
a1,Dijkstra,172.0,73
a1,Dijkstra,172.0,74
a1,Dijkstra,172.0,75
a1,Dijkstra,172.0,76
a1,Dijkstra,177.0,77
a1,Dijkstra,195.0,78
a1,Dijkstra,186.0,79
a1,Dijkstra,176.0,80
a1,Dijkstra,203.0,81
a1,Dijkstra,203.0,82
a1,Dijkstra,191.0,83
a1,Dijkstra,173.0,84
a1,Dijkstra,189.0,85
a1,Dijkstra,229.0,86
a1,Dijkstra,241.0,87
a1,Dijkstra,266.0,88
a1,Dijkstra,230.0,89
a1,Dijkstra,189.0,90
a1,Dijkstra,252.0,91
a1,Dijkstra,175.0,92
a1,Dijkstra,190.0,93
a1,Dijkstra,170.0,94
a1,Dijkstra,172.0,95
a1,Dijkstra,173.0,96
a1,Dijkstra,172.0,97
a1,Dijkstra,171.0,98
a1,Dijkstra,172.0,99
a1,Dijkstra,172.0,100
a1,Dijkstra,178.0,101
a1,Dijkstra,190.0,102
a1,Dijkstra,187.0,103
a1,Dijkstra,180.0,104
a1,Dijkstra,287.0,105
a1,Dijkstra,198.0,106
a1,Dijkstra,204.0,107
a1,Dijkstra,199.0,108
a1,Dijkstra,200.0,109
a1,Dijkstra,226.0,110
a1,Dijkstra,193.0,111
a1,Dijkstra,209.0,112
a1,Dijkstra,225.0,113
a1,Dijkstra,196.0,114
a1,Dijkstra,219.0,115
a1,Dijkstra,172.0,116
a1,Dijkstra,185.0,117
a1,Dijkstra,172.0,118
a1,Dijkstra,172.0,119
a1,Dijkstra,172.0,120
a1,Dijkstra,181.0,121
a1,Dijkstra,181.0,122
a1,Dijkstra,172.0,123
a1,Dijkstra,172.0,124
a1,Dijkstra,189.0,125
a1,Dijkstra,180.0,126
a1,Dijkstra,186.0,127
a1,Dijkstra,189.0,128
a1,Dijkstra,184.0,129
a1,Dijkstra,225.0,130
a1,Dijkstra,188.0,131
a1,Dijkstra,217.0,132
a1,Dijkstra,181.0,133
a1,Dijkstra,214.0,134
a1,Dijkstra,202.0,135
a1,Dijkstra,231.0,136
a1,Dijkstra,263.0,137
a1,Dijkstra,191.0,138
a1,Dijkstra,184.0,139
a1,Dijkstra,181.0,140
a1,Dijkstra,178.0,141
a1,Dijkstra,173.0,142
a1,Dijkstra,172.0,143
a1,Dijkstra,172.0,144
a1,Dijkstra,176.0,145
a1,Dijkstra,172.0,146
a1,Dijkstra,172.0,147
a1,Dijkstra,174.0,148
a1,Dijkstra,172.0,149
a1,Dijkstra,197.0,150
